Date,Open,High,Low,Close
8/13/2013,1784.46,1796.29,1784.46,1795.09
8/14/2013,1799.95,1801.26,1791.46,1793.73
8/15/2013,1792.79,1797.17,1791.23,1792.21
8/16/2013,1789.74,1791.26,1786.76,1788.24
8/19/2013,1774.5,1788.43,1771.65,1778.36
8/20/2013,1773.85,1774.47,1737.58,1745.42
8/21/2013,1743.49,1749.16,1740.61,1744.85
8/22/2013,1727.34,1729.46,1710.17,1720.37
8/23/2013,1724.07,1729.86,1721.07,1721.07
8/26/2013,1722.14,1732.25,1722.14,1722.49
8/27/2013,1718.41,1719.03,1698.89,1701.24
8/28/2013,1687.23,1689.68,1660.39,1686.17
8/29/2013,1685.51,1707.19,1684.08,1703.78
8/30/2013,1708.31,1727.58,1708.31,1727.58
9/2/2013,1723.77,1724.76,1714.95,1717.56
9/3/2013,1718.35,1727.94,1715.98,1724.21
9/4/2013,1725.55,1725.55,1702.57,1716.76
9/5/2013,1719.1,1723.69,1718.56,1720.97
9/6/2013,1719.97,1726.28,1719.83,1723.8
9/9/2013,1726.27,1747.03,1726.27,1747.03
9/10/2013,1753.14,1774.14,1753.14,1764.95
9/11/2013,1769.8,1776.11,1763.05,1768.48
9/12/2013,1777.76,1779.4,1769.75,1772.4
9/13/2013,1768.39,1770.8,1764.13,1770.8
9/17/2013,1777.41,1781.47,1769.12,1774.94
9/18/2013,1772.51,1774.78,1769.69,1771.4
9/19/2013,1790.41,1793.94,1787.38,1792.91
9/20/2013,1796.06,1805.15,1794.89,1801.83
9/23/2013,1795.79,1800.3,1793.28,1796.36
9/24/2013,1790.78,1792.48,1785.41,1792.48
9/25/2013,1788.06,1791.18,1783.15,1784.06
9/26/2013,1784.3,1784.96,1774.16,1774.16
9/27/2013,1775.78,1781.61,1775.35,1776.16
9/30/2013,1775.28,1781.84,1762.3,1768.62
10/1/2013,1766.37,1770.34,1759.66,1769.03
10/2/2013,1769.97,1774.68,1769.45,1770.35
10/3/2013,1770.02,1773.29,1768.15,1771.37
10/4/2013,1771.29,1779.02,1769.77,1776.56
10/7/2013,1778.03,1780.27,1773.56,1776.82
10/8/2013,1773.65,1778.13,1771.32,1777.5
10/9/2013,1774.71,1775.04,1769.12,1769.12
10/10/2013,1769.12,1777.45,1768.64,1775.92
10/11/2013,1788.88,1788.99,1783.53,1785.75
10/14/2013,1775.11,1788.53,1775.11,1784.76
10/16/2013,1787.84,1795.48,1786.1,1791.37
10/17/2013,1801.04,1802.57,1796.1,1797.42
10/18/2013,1798.94,1805,1795.95,1799.59
10/21/2013,1798.92,1803.46,1797.14,1802.61
10/22/2013,1800.85,1808.35,1800.46,1803.58
10/23/2013,1805.64,1817.93,1805.64,1814.11
10/24/2013,1818.75,1822.17,1817.41,1818.93
10/25/2013,1818.6,1820.81,1812.47,1817.57
10/28/2013,1818.44,1821.14,1814.86,1818.39
10/29/2013,1821.22,1821.79,1813.87,1815.65
10/30/2013,1816.96,1818.89,1812.66,1817.38
10/31/2013,1815.14,1815.15,1804.56,1806.85
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
