Date,KLCI_Close,AMM_Close,Astro_Close,Axiata_Close,Roth_Close,Cimb_Close,Digi_Close,Fgv_Close,Gent_Close,Genm_Close,Hlbk_Close,Hlfg_Close,Ihh_Close,Ioi_Close,Klk_Close,Misc_Close,May_Close,Maxis_Close,Pep_Close,Pchem_Close,Petd_Close,Ptg_Close,Pbk_Close,Rhbc_Close,Sakp_Close,Sime_Close,T_Close,Tnb_Close,Uems_Close,Umwh_Close,Ytl_Close
2013-03-22,1626.89,6.38,2.9,6.36,59.98,7.16,4.42,4.43,9.46,3.36,14.38,14.98,3.5,4.6,20.6,5.3,9.14,6.51,12.2,6.38,23.02,18.54,15.94,8.55,3.04,9.19,5.25,7.13,2.61,12.82,1.63
2013-03-25,1643.89,6.4,2.9,6.45,62,7.29,4.53,4.51,9.63,3.4,14.42,15,3.62,4.66,20.6,5.3,9.23,6.51,12.52,6.38,23.18,18.8,16.02,8.55,3.03,9.2,5.3,7.12,2.61,13.08,1.66
2013-03-26,1652.83,6.4,2.9,6.49,61.46,7.36,4.59,4.53,9.9,3.45,14.42,15,3.6,4.66,20.7,5.31,9.29,6.53,12.46,6.36,23.3,18.9,16.1,8.57,3.04,9.19,5.37,7.1,2.68,13.5,1.65
2013-03-27,1667.57,6.43,2.9,6.51,62.28,7.69,4.61,4.54,9.99,3.6,14.44,14.94,3.6,4.66,20.7,5.34,9.39,6.52,12.5,6.39,23.4,19.18,16.22,8.63,3.06,9.21,5.4,7.12,2.68,13.42,1.67
2013-03-28,1674.04,6.54,2.9,6.62,62.48,7.65,4.64,4.58,10.04,3.67,14.44,14.94,3.68,4.66,20.74,5.37,9.4,6.53,12.62,6.45,23.44,19,16.24,8.63,3,9.26,5.39,7.2,2.69,13.4,1.64
2013-03-29,1671.63,6.55,2.82,6.6,62.16,7.63,4.63,4.6,10.02,3.62,14.46,15,3.74,4.68,20.92,5.37,9.35,6.53,12.64,6.41,23.1,19,16.26,8.45,3,9.27,5.39,7.22,2.73,13.34,1.63
2013-04-01,1667.61,6.55,2.82,6.62,60.7,7.58,4.58,4.62,9.9,3.68,14.54,15,3.7,4.64,21,5.37,9.3,6.52,12.72,6.34,22.82,18.8,16.3,8.5,3.04,9.26,5.39,7.22,2.7,13.4,1.64
2013-04-02,1685,6.59,2.86,6.64,63.7,7.65,4.57,4.7,10.1,3.72,14.46,15.18,3.68,4.7,21.18,5.37,9.41,6.54,12.7,6.36,23.28,19,16.42,8.61,3.11,9.27,5.42,7.59,2.7,13.36,1.67
2013-04-03,1685.4,6.64,2.89,6.65,64.9,7.74,4.6,4.65,10.2,3.72,14.46,14.96,3.7,4.69,21.24,5.47,9.42,6.55,12.76,6.29,23.2,18.8,16.3,8.64,3.04,9.26,5.41,7.57,2.73,13.32,1.63
2013-04-04,1688.46,6.57,2.85,6.62,65.3,7.75,4.6,4.69,10.06,3.72,14.48,15,3.77,4.86,21.2,5.5,9.45,6.58,12.7,6.29,23.2,18.96,16.28,8.66,3.07,9.27,5.41,7.57,2.82,13.32,1.65
2013-04-05,1688.65,6.57,2.88,6.65,62.94,7.62,4.59,4.65,10.18,3.7,14.5,14.92,3.76,4.8,21.2,5.46,9.7,6.54,12.7,6.29,23.14,18.88,16.38,8.68,3.2,9.28,5.41,7.52,2.86,13.28,1.63
2013-04-08,1687.99,6.48,2.86,6.65,62.04,7.67,4.63,4.61,10.1,3.72,14.48,15,3.77,4.75,21.1,5.4,9.64,6.58,12.54,6.35,23.2,18.88,16.34,8.6,3.19,9.26,5.41,7.61,2.9,13.32,1.63
2013-04-09,1690.27,6.45,2.85,6.66,63.48,7.74,4.63,4.59,10.16,3.74,14.42,15.16,3.71,4.75,21.3,5.41,9.64,6.58,12.6,6.39,23.24,18.92,16.28,8.59,3.14,9.24,5.4,7.62,2.86,13.4,1.64
2013-04-10,1696.2,6.51,2.87,6.66,63.8,7.77,4.64,4.64,10.12,3.73,14.48,15.2,3.73,4.78,21.58,5.42,9.66,6.74,12.58,6.4,23.26,18.84,16.3,8.52,3.13,9.25,5.43,7.7,2.85,13.38,1.64
2013-04-11,1707.04,6.48,2.9,6.75,64.38,7.78,4.68,4.64,10.2,3.71,14.42,15.28,3.74,4.98,21.72,5.41,9.63,6.82,12.66,6.44,23.44,18.9,16.34,8.55,3.13,9.39,5.48,7.78,2.85,13.36,1.65
2013-04-12,1698.53,6.48,2.91,6.7,64.3,7.71,4.69,4.65,10.18,3.7,14.44,15.3,3.76,4.87,21.7,5.47,9.6,6.75,12.66,6.46,23.46,18.9,16.3,8.52,3.09,9.29,5.48,7.68,2.78,13.26,1.63
2013-04-15,1697.77,6.46,2.89,6.73,64.5,7.68,4.69,4.6,10.12,3.61,14.46,15.1,3.69,4.97,21.64,5.47,9.62,6.78,12.6,6.46,22.98,18.86,16.24,8.45,3.05,9.45,5.47,7.68,2.78,13.24,1.61
2013-04-16,1700.53,6.44,2.85,6.68,62.5,7.74,4.68,4.61,10.28,3.72,14.44,15.12,3.67,5.03,21.7,5.47,9.62,6.76,12.6,6.45,23.5,19.04,16.26,8.46,3.05,9.45,5.45,7.69,2.77,13.28,1.61
